Year,RoundName,MatchId,Player,WebsiteId,Team,Abbreviation,Image,Rating_Q1,Rating_Q2,Rating_Q3,Rating_Q4,RatingPoints,EstimatedRating,Equity_PreClearance,Equity_PostClearance,Equity_Possession,Equity_BallUse,CoachesVotes,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,AssistedMetresGained,Inside50s,Turnovers,Tackles,PressureActs,KickIns,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,HandballReceives,Intercepts,Marks,ContestedMarks,InterceptMarks,CentreBounceAttendancePercentage,TotalClearances,FirstPossessions,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,xScore,xScoreRating,GoalAssists,ScoreInvolvements,ScoreLaunches
2026,Round 21,20262101,George Hewett,230114,Carlton,Carl,images/afl_logos/Carl-40.png,6.4,2.8,10.2,5.1,24.6,11.64,8.9,9.7,9.4,10,7,147,135,2.1,39,76,18,15,33,87.9,507,348,8,3,3,18,0,13,8,1,1,9,4,11,0,3,72,8,9,0,0,0,2,1,0,6.1,-0.1,1,11,4
2026,Round 21,20262101,Jagga Smith,140dea3,Carlton,Carl,images/afl_logos/Carl-40.png,6.9,9.5,1.9,5.9,24.1,11.61,5.2,14.2,6.5,13.5,10,126,94,2.01,36,78,8,21,29,96.6,330,398,5,2,3,12,0,10,9,4,4,17,2,2,0,0,82,6,6,0,0,0,2,2,0,5.3,6.7,1,12,2
2026,Round 21,20262101,Will Ashcroft,140cb1d,Brisbane,Bris,images/afl_logos/Bris-40.png,2.8,12.3,3,4.4,22.6,11.18,5.8,15.7,6.3,15,0,121,106,0.08,1,86,15,17,32,81.3,418,372,6,5,3,17,0,12,5,3,3,15,4,2,0,0,62,8,7,0,0,0,2,2,0,6.8,5.2,2,7,2
2026,Round 21,20262101,Oliver Florent,2dbf57,Carlton,Carl,images/afl_logos/Carl-40.png,4.6,3.6,5,4.1,17.2,9.08,1,14.5,4.2,10.8,2,119,92,0.11,1,85,19,7,26,92.3,485,351,2,0,2,10,5,3,2,2,2,13,3,3,0,1,0,1,0,0,0,0,1,1,0,2.6,3.4,1,6,1
2026,Round 21,20262101,Will Hayward,2dbb6c,Carlton,Carl,images/afl_logos/Carl-40.png,-0.5,4.1,7.2,4.7,15.6,7.69,0.5,13.5,8.6,4.9,2,116,98,0.03,0,78,13,10,23,78.3,372,269,2,1,2,8,0,9,7,8,6,7,4,8,1,0,0,1,0,0,0,0,3,1,0,9.1,-3.1,2,11,1
2026,Round 21,20262101,Lachie Neale,22ff1f,Brisbane,Bris,images/afl_logos/Bris-40.png,4.6,3,5.1,1.6,14.3,14.07,4.4,5.7,7.6,3.4,0,105,83,0.01,0,80,10,16,26,84.6,441,315,6,4,1,19,0,13,7,3,3,9,2,6,0,0,79,7,9,0,0,0,0,0,0,0,0,3,9,3
2026,Round 21,20262101,Kai Lohmann,140a60a,Brisbane,Bris,images/afl_logos/Bris-40.png,5.3,4.1,2.8,1.8,14,9.38,-0.1,13,6.7,5.6,0,74,61,0,0,85,7,4,11,63.6,227,98,3,0,3,26,0,7,5,6,4,1,2,2,1,0,0,1,1,0,0,0,4,2,1,12,1,0,5,1
2026,Round 21,20262101,Adam Cerra,14077ff,Carlton,Carl,images/afl_logos/Carl-40.png,3.8,1.8,3,5.4,14,9.17,0.7,9.8,4.9,3.9,0,91,91,0.01,0,79,12,9,21,76.2,539,244,3,3,3,11,2,5,4,3,2,7,4,8,0,2,0,1,1,0,0,0,0,0,0,0,0,2,5,1
2026,Round 21,20262101,Sam Draper,1408509,Brisbane,Bris,images/afl_logos/Bris-40.png,8.1,2.3,2.2,0.5,13.2,12.02,6.6,3.7,6.5,0.3,0,93,64,0,0,70,8,2,10,60,156,81,0,4,0,6,0,9,3,3,2,1,1,1,1,0,62,5,6,57,30,10,2,1,0,8.2,-2.2,1,3,2
2026,Round 21,20262101,Sam Walsh,140870e,Carlton,Carl,images/afl_logos/Carl-40.png,-3.1,5.9,1.5,8.7,13,12.02,3.9,8.3,4.3,9.3,0,77,82,0.12,2,78,14,13,27,88.9,329,474,4,3,1,18,0,7,7,3,3,16,2,3,0,0,69,4,4,0,0,0,3,1,1,8.4,-1.4,0,8,4
2026,Round 21,20262101,Harry McKay,14072f9,Carlton,Carl,images/afl_logos/Carl-40.png,4.4,2.4,3.6,2.1,12.5,7.91,0.9,9.4,8.2,2.3,1,108,116,0.33,5,87,16,4,20,80,416,62,7,4,1,7,0,8,1,8,1,2,2,10,2,0,8,0,0,8,2,1,4,3,1,17.4,1.6,0,8,1
