Year,RoundName,MatchId,Player,WebsiteId,Team,Abbreviation,Image,Rating_Q1,Rating_Q2,Rating_Q3,Rating_Q4,RatingPoints,EstimatedRating,Equity_PreClearance,Equity_PostClearance,Equity_Possession,Equity_BallUse,CoachesVotes,Supercoach,DreamTeamPoints,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,AssistedMetresGained,Inside50s,Turnovers,Tackles,PressureActs,KickIns,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,HandballReceives,Intercepts,Marks,ContestedMarks,InterceptMarks,CentreBounceAttendancePercentage,TotalClearances,FirstPossessions,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,xScore,xScoreRating,GoalAssists,ScoreInvolvements,ScoreLaunches
2026,Round 29,20262901,Luke Jackson,14093f7,Fremantle,Frem,images/afl_logos/Frem-40.png,4.7,3.6,9.3,1.4,19.1,15.24,11,3,7.4,2.9,NA,110,110,86,10,5,15,60,254,160,2,5,4,11,0,8,3,4,1,4,1,2,2,1,93,4,5,93,47,13,0,0,0,0,0,1,8,5
2026,Round 29,20262901,Hayden Young,1409368,Fremantle,Frem,images/afl_logos/Frem-40.png,3.1,1.2,8.9,3.4,16.6,11.26,0,13.3,6.3,7.5,NA,117,120,76,14,8,22,54.5,484,188,5,2,9,25,0,8,5,3,2,10,3,5,0,1,47,4,6,0,0,0,3,2,1,7.2,5.8,1,8,1
2026,Round 29,20262901,Will Ashcroft,140cb1d,Brisbane,Bris,images/afl_logos/Bris-40.png,4.1,4.1,2.7,5.2,16.2,13.37,6.4,5.2,6.3,5.8,NA,123,92,83,19,12,31,61.3,496,412,5,5,2,6,0,13,11,3,3,12,2,2,0,0,77,9,11,0,0,0,0,0,0,0,0,3,7,3
2026,Round 29,20262901,Harris Andrews,2db75b,Brisbane,Bris,images/afl_logos/Bris-40.png,2.4,3.3,6.5,3.4,15.6,10.91,0.6,15.1,8.5,1.1,NA,92,52,97,11,0,11,72.7,297,132,2,3,1,9,0,5,3,5,3,0,7,6,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1
2026,Round 29,20262901,Josh Dunkley,2daeaa,Brisbane,Bris,images/afl_logos/Bris-40.png,4.8,2.5,2.6,5,14.9,11.27,2.2,7.3,9.7,0.5,NA,111,95,82,6,15,21,61.9,130,178,2,4,12,30,0,14,12,10,8,4,8,2,0,0,87,1,2,0,0,0,0,0,0,0,0,0,3,2
2026,Round 29,20262901,Kai Lohmann,140a60a,Brisbane,Bris,images/afl_logos/Bris-40.png,5.1,3.2,4.3,1.9,14.6,9,0,5.1,5.4,-0.6,NA,86,90,82,7,7,14,64.3,141,145,3,5,10,16,0,5,5,5,5,6,2,1,0,0,0,0,0,0,0,0,3,2,0,10.7,1.3,2,5,1
2026,Round 29,20262901,Levi Ashcroft,140ded0,Brisbane,Bris,images/afl_logos/Bris-40.png,4,3.9,5.4,1.2,14.5,7.98,3.6,10.1,5.1,8,NA,93,83,60,14,5,19,89.5,289,327,2,2,1,2,0,7,4,4,2,6,3,7,0,0,0,2,2,0,0,0,1,1,0,3.3,2.7,0,3,1
2026,Round 29,20262901,Caleb Serong,140940c,Fremantle,Frem,images/afl_logos/Frem-40.png,5.2,1.9,4.3,2.9,14.2,14.08,13.8,-2,8.3,4.5,NA,66,70,78,15,9,24,54.2,470,190,5,10,1,21,0,17,11,3,3,3,3,1,0,0,83,13,12,0,0,0,1,0,0,2.8,-2.8,2,4,0
2026,Round 29,20262901,Murphy Reid,140dea1,Fremantle,Frem,images/afl_logos/Frem-40.png,4.8,3.5,3.6,2.3,14.2,10.73,3.5,5.4,3.7,5.2,NA,76,83,83,13,8,21,61.9,271,189,6,4,4,18,0,6,4,2,1,9,2,2,1,1,10,3,4,0,0,0,1,1,0,3.4,2.6,0,3,0
2026,Round 29,20262901,Isaiah Dudley,1409c66,Fremantle,Frem,images/afl_logos/Frem-40.png,4.8,1.6,7.2,0.5,14.1,8.61,1.4,12.3,4.6,10.2,NA,68,46,64,10,3,13,76.9,406,151,5,4,0,5,0,5,5,4,4,5,0,1,0,0,0,1,0,0,0,0,3,2,1,9.5,3.5,1,7,0
2026,Round 29,20262901,Dayne Zorko,2280e8,Brisbane,Bris,images/afl_logos/Bris-40.png,5.8,4.3,1.8,2.1,13.9,11.15,0.1,8.2,4.2,2.8,NA,121,134,90,23,5,28,78.6,660,243,1,5,7,17,8,5,4,5,4,4,7,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,4
2026,Round 29,20262901,Charlie Cameron,2da211,Brisbane,Bris,images/afl_logos/Bris-40.png,6.2,0.1,4.2,2.8,13.4,8.91,0,10.4,5.7,4.8,NA,75,70,76,9,7,16,56.3,236,182,2,3,1,8,0,7,7,7,7,4,1,2,0,0,0,0,0,0,0,0,4,3,0,12.1,5.9,0,7,1
2026,Round 29,20262901,Neil Erasmus,140be5a,Fremantle,Frem,images/afl_logos/Frem-40.png,7.1,2.5,1.9,1.4,12.9,8.83,3.5,6.8,5.9,4.3,NA,55,42,68,4,7,11,81.8,100,140,1,1,4,14,0,8,8,5,5,3,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,3,1
2026,Round 29,20262901,Jye Amiss,140bfb2,Fremantle,Frem,images/afl_logos/Frem-40.png,0.1,4.7,5.9,1.5,12.3,7.33,0,10.4,10.9,-0.5,NA,71,61,95,8,2,10,40,146,59,2,2,2,5,0,8,3,8,3,2,0,4,4,0,0,0,0,0,0,0,4,2,0,13.6,-1.6,0,4,0
2026,Round 29,20262901,Shai Bolton,2daf49,Fremantle,Frem,images/afl_logos/Frem-40.png,2.6,-1.6,3.1,8.1,12.1,11.74,2,7.2,4.1,4.7,NA,96,114,79,17,9,26,57.7,686,303,9,5,5,16,0,10,6,5,4,8,4,7,0,0,60,2,5,0,0,0,5,0,2,11.2,-9.2,1,9,1
2026,Round 29,20262901,Andrew Brayshaw,14077f8,Fremantle,Frem,images/afl_logos/Frem-40.png,1.9,4.4,1.7,3.5,11.5,12.55,6.9,-1.8,5.3,1.8,NA,79,80,81,9,7,16,75,333,52,4,2,7,31,0,9,4,2,0,7,1,3,0,0,83,6,8,0,0,0,0,0,0,0,0,0,6,3
2026,Round 29,20262901,Heath Chapman,140a2e8,Fremantle,Frem,images/afl_logos/Frem-40.png,4.4,1.3,2.9,2.8,11.3,7.39,0,9.3,5.4,2.7,NA,52,41,85,4,6,10,100,191,193,2,1,2,12,0,5,3,4,3,2,5,4,1,3,0,1,1,0,0,0,0,0,0,0,0,0,3,2
2026,Round 29,20262901,Oscar McDonald,2da958,Fremantle,Frem,images/afl_logos/Frem-40.png,0.7,1.7,7,2,11.3,6.1,0,11.8,9.3,-0.4,NA,81,56,100,8,5,13,76.9,151,199,1,1,2,8,0,7,4,7,4,2,9,5,2,4,0,0,0,0,0,0,1,0,1,2.8,-1.8,0,2,1
2026,Round 29,20262901,Oscar Allen,1408061,Brisbane,Bris,images/afl_logos/Bris-40.png,6.3,0,4.9,0,11.2,5.67,0,9.8,4.2,5.6,NA,55,53,66,4,5,9,88.9,128,50,2,0,3,7,0,3,2,3,2,1,0,2,1,0,0,0,0,0,0,0,3,2,1,9.3,3.7,0,6,0
2026,Round 29,20262901,Sam Draper,1408509,Brisbane,Bris,images/afl_logos/Bris-40.png,2.1,2.8,3.3,2.8,11.1,11.34,3.6,6,3.2,3.3,NA,51,65,72,9,2,11,36.4,166,41,2,2,2,8,0,6,2,0,0,1,0,1,0,0,80,3,6,62,17,2,1,1,0,2.4,3.6,0,2,0
2026,Round 29,20262901,Jarrod Berry,2dbf75,Brisbane,Bris,images/afl_logos/Bris-40.png,2.4,1.9,3.5,3.3,11.1,8.56,2,5.1,5.4,1.2,NA,80,73,76,10,7,17,76.5,224,263,2,2,5,12,0,9,9,6,6,3,6,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,1
2026,Round 29,20262901,Patrick Voss,140b49a,Fremantle,Frem,images/afl_logos/Frem-40.png,-0.5,6.8,0,4.2,10.5,8.02,0,5.3,3.6,1.7,NA,84,80,93,6,3,9,66.7,136,79,2,1,5,11,0,4,3,4,3,1,0,5,0,0,0,0,0,0,0,0,5,3,2,18.9,1.1,0,8,0
2026,Round 29,20262901,Zac Bailey,1407848,Brisbane,Bris,images/afl_logos/Bris-40.png,0.4,2.5,0.9,6.6,10.3,12.97,0.6,7,4.5,3.9,NA,82,82,81,13,7,20,70,344,273,2,3,2,17,0,4,2,3,2,10,0,5,1,0,37,1,1,0,0,0,1,1,0,1.6,4.4,1,7,1
2026,Round 29,20262901,Jaspa Fletcher,140cbdc,Brisbane,Bris,images/afl_logos/Bris-40.png,1.7,5.1,-1.2,4.1,9.8,8.59,0.9,6,6.2,1.2,NA,79,79,79,15,5,20,65,537,206,3,5,3,15,2,7,7,4,4,5,4,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0
2026,Round 29,20262901,Cam Rayner,14077fb,Brisbane,Bris,images/afl_logos/Bris-40.png,2.7,1.4,3.3,2,9.5,10.74,2.2,5.8,5,2.9,NA,62,64,79,13,5,18,61.1,469,138,4,2,1,8,0,5,5,3,3,5,1,3,0,0,13,2,2,0,0,0,2,0,2,5.4,-3.4,0,8,2
2026,Round 29,20262901,Michael Frederick,2dc419,Fremantle,Frem,images/afl_logos/Frem-40.png,0.3,1.9,2.6,4.3,9.2,7.19,2.6,5.2,3.5,4.3,NA,62,67,78,9,0,9,66.7,233,68,3,2,4,13,0,4,2,1,1,1,1,5,0,1,0,2,1,0,0,0,2,1,1,4.5,2.5,0,3,2
2026,Round 29,20262901,Logan Morris,140dcb3,Brisbane,Bris,images/afl_logos/Bris-40.png,-2.8,0.5,-0.1,11.3,8.9,8.85,0,9.3,3.7,7.2,NA,73,50,87,6,4,10,80,214,63,2,4,1,4,0,3,1,3,1,3,0,2,1,0,0,0,0,0,0,0,5,3,1,13.7,5.3,2,6,0
2026,Round 29,20262901,Ty Gallop,140f5ab,Brisbane,Bris,images/afl_logos/Bris-40.png,2.6,1,0.8,4.5,8.9,7.92,0,8.3,5.2,0.2,NA,65,50,88,8,1,9,66.7,239,80,1,4,3,7,0,3,1,3,1,1,6,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,Round 29,20262901,Judd McVee,140b467,Fremantle,Frem,images/afl_logos/Frem-40.png,4.3,0.6,2.6,1.4,8.9,6.99,0.8,5,6.9,-0.7,NA,55,43,78,10,0,10,80,214,187,0,2,1,7,1,5,4,3,2,1,6,4,1,3,0,1,1,0,0,0,0,0,0,0,0,0,6,5
2026,Round 29,20262901,Ryan Lester,22f75c,Brisbane,Bris,images/afl_logos/Bris-40.png,1.3,-0.3,1.3,6.5,8.8,8.93,0,8.7,3.1,3.7,NA,85,77,86,13,2,15,73.3,355,168,4,5,4,11,0,5,5,5,5,2,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
2026,Round 29,20262901,Conor McKenna,2dbe56,Brisbane,Bris,images/afl_logos/Bris-40.png,-1,7.8,1.6,0.3,8.8,8.98,1,8.8,2.8,6.8,NA,51,48,81,10,0,10,50,150,18,1,0,2,9,0,4,3,2,2,2,0,0,0,0,0,2,1,0,0,0,4,1,3,10.3,-1.3,0,5,1
2026,Round 29,20262901,Matthew Johnson,140b0f9,Fremantle,Frem,images/afl_logos/Frem-40.png,1.9,1.8,3.4,1.8,8.8,9.88,1.4,4.9,6.6,-0.4,NA,70,74,77,10,6,16,56.3,367,153,3,1,3,17,0,7,6,5,4,3,4,6,1,2,17,2,0,0,0,0,2,0,2,5.9,-3.9,1,4,2
2026,Round 29,20262901,Sam Switkowski,2da7bb,Fremantle,Frem,images/afl_logos/Frem-40.png,0.6,3.9,2.3,1.5,8.3,8.84,2.1,2.3,4.4,0,NA,76,72,86,6,10,16,81.3,143,301,4,2,4,14,0,6,5,4,3,2,1,6,1,1,0,2,2,0,0,0,1,0,0,2.6,-2.6,1,5,2
2026,Round 29,20262901,Josh Treacy,140a153,Fremantle,Frem,images/afl_logos/Frem-40.png,3.6,4.5,-1.8,1.9,8.2,9.94,0,4.1,5.8,-0.1,NA,78,68,97,8,1,9,66.7,154,198,3,0,4,10,0,5,2,5,2,0,1,6,3,0,0,0,0,0,0,0,3,1,2,11.8,-3.8,1,5,0
2026,Round 29,20262901,Luke Ryan,2dc183,Fremantle,Frem,images/afl_logos/Frem-40.png,2,1.6,0.6,2.6,6.9,6.84,0.3,3.2,2.9,-0.3,NA,67,58,78,10,3,13,76.9,416,47,0,6,4,11,6,3,3,3,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2026,Round 29,20262901,Hugh McCluggage,1407312,Brisbane,Bris,images/afl_logos/Bris-40.png,0,5.2,1.6,0,6.7,11.22,1,2,6.6,-3,NA,68,68,84,11,7,18,55.6,320,99,2,2,4,21,0,8,6,2,2,4,1,3,0,0,27,4,3,0,0,0,1,0,1,4.1,-3.1,1,7,1
2026,Round 29,20262901,Darcy Wilmot,140b1eb,Brisbane,Bris,images/afl_logos/Bris-40.png,1.3,2.6,2,0.8,6.7,9.8,0,8,3,4.9,NA,78,72,74,19,1,20,85,371,287,0,3,0,11,7,3,3,3,3,5,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2026,Round 29,20262901,Darcy Fort,231163,Brisbane,Bris,images/afl_logos/Bris-40.png,1.7,2.4,0.1,2.5,6.7,9.82,0.6,3.3,4.8,-1.5,NA,49,49,46,4,4,8,50,65,114,0,1,1,8,0,5,3,2,2,0,3,3,0,1,20,1,2,38,16,3,0,0,0,0,0,0,3,2
2026,Round 29,20262901,Jordan Clark,1408748,Fremantle,Frem,images/afl_logos/Frem-40.png,1.9,2.5,0.7,1.6,6.7,10.04,0,4.6,5,-0.7,NA,67,52,85,11,3,14,85.7,424,34,1,7,0,12,2,5,4,5,4,1,9,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2026,Round 29,20262901,Lachie Neale,22ff1f,Brisbane,Bris,images/afl_logos/Bris-40.png,2.2,-1.3,2,3.2,6.1,13.16,0.9,3.1,2.6,1.4,NA,76,74,76,10,10,20,75,299,342,4,1,2,11,0,6,5,2,2,9,0,5,0,0,60,3,4,0,0,0,1,0,1,3.5,-2.5,0,7,1
2026,Round 29,20262901,Karl Worner,140c157,Fremantle,Frem,images/afl_logos/Frem-40.png,0.7,0.9,3.4,-0.5,4.5,8.72,0.3,3.5,5,-1.3,NA,65,62,82,12,4,16,68.8,529,41,2,5,2,9,3,4,3,4,3,5,7,3,1,2,0,1,0,0,0,0,1,0,1,2,-1,0,2,2
2026,Round 29,20262901,Mason Cox,2dc177,Fremantle,Frem,images/afl_logos/Frem-40.png,1.9,0.8,-0.4,2,4.4,6.5,1,4.4,1,3.4,NA,27,10,32,2,0,2,100,26,12,0,0,0,3,0,1,0,1,0,1,0,0,0,0,7,0,0,8,4,2,0,0,0,0,0,0,3,1
2026,Round 29,20262901,Corey Wagner,2daf14,Fremantle,Frem,images/afl_logos/Frem-40.png,2.7,-0.1,0.5,1.2,4.3,7.6,0.9,1.9,2.8,0,NA,44,46,69,6,5,11,63.6,273,102,2,1,3,15,0,4,4,2,2,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0
2026,Round 29,20262901,Darcy Gardiner,2309cd,Brisbane,Bris,images/afl_logos/Bris-40.png,1.1,0.1,2.8,0,4,6.08,0,2.2,1,1.3,NA,53,32,85,5,2,7,100,140,86,0,1,1,4,0,1,1,1,1,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2026,Round 29,20262901,Alex Pearce,231229,Fremantle,Frem,images/afl_logos/Frem-40.png,-0.8,0.9,0,0,0.1,8.13,-0.3,-0.8,0,-0.3,NA,5,2,49,1,1,2,100,45,12,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2026,Round 29,20262901,Eric Hipwood,2daf21,Brisbane,Bris,images/afl_logos/Bris-40.png,0.7,-2.7,0.1,0.7,-1.1,5.88,0,-2.8,3.5,-6.5,NA,21,36,69,6,0,6,33.3,140,11,2,1,1,9,0,2,2,2,2,0,1,4,0,1,0,0,0,0,0,0,3,0,2,8.5,-6.5,0,3,0
