Year,RoundName,MatchId,Player,WebsiteId,Team,Abbreviation,Image,Rating_Q1,Rating_Q2,Rating_Q3,Rating_Q4,RatingPoints,EstimatedRating,Equity_PreClearance,Equity_PostClearance,Equity_Possession,Equity_BallUse,CoachesVotes,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,AssistedMetresGained,Inside50s,Turnovers,Tackles,PressureActs,KickIns,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,HandballReceives,Intercepts,Marks,ContestedMarks,InterceptMarks,CentreBounceAttendancePercentage,TotalClearances,FirstPossessions,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,xScore,xScoreRating,GoalAssists,ScoreInvolvements,ScoreLaunches
2026,Round 17,20261701,Sam Durham,140ad02,Essendon,Ess,images/afl_logos/Ess-40.png,7.9,4.3,2.8,3.3,18.4,11.92,9.8,4.3,7,7.4,0,109,69,0,0,70,11,13,24,79.2,331,245,3,2,1,21,0,12,9,2,1,8,2,3,0,0,81,9,8,0,0,0,1,0,1,1.4,-0.4,2,7,2
2026,Round 17,20261701,Hugo Garcia,140dbce,St Kilda,St K,images/afl_logos/stk-40.png,1.4,8.9,2.8,4.9,18,11.94,1.9,11.1,5.7,7.7,2,125,115,0.24,0,73,13,16,29,86.2,313,391,5,3,5,18,0,10,8,4,4,11,3,6,0,0,63,5,6,0,0,0,1,1,0,2.7,3.3,0,7,1
2026,Round 17,20261701,Nasiah Wanganeen-Milera,140abd3,St Kilda,St K,images/afl_logos/stk-40.png,5.3,4.4,0.7,7.2,17.7,16,-1.8,14.8,8,6.9,10,160,160,2.96,96,78,33,13,46,67.4,897,334,6,6,2,7,4,10,5,7,3,24,5,7,2,1,63,1,4,0,0,0,3,1,1,8.9,-1.9,1,10,3
2026,Round 17,20261701,Rowan Marshall,2da954,St Kilda,St K,images/afl_logos/stk-40.png,9.7,2.3,1.6,3.9,17.6,11.43,7.9,9.7,7,10.5,2,133,118,0.2,0,80,13,7,20,65,317,115,3,2,6,10,0,9,2,1,0,3,1,3,0,0,74,8,10,67,20,6,4,2,1,8.5,4.5,0,8,6
2026,Round 17,20261701,Mattaes Phillipou,140bde9,St Kilda,St K,images/afl_logos/stk-40.png,4.9,4.2,1.6,6.3,17.1,7.58,5.9,6.3,3.9,9.4,0,87,84,0.02,0,68,8,17,25,80,258,149,3,1,4,20,0,7,7,2,2,13,3,3,0,0,59,4,6,0,0,0,0,0,0,0,0,1,7,1
2026,Round 17,20261701,Darcy Wilson,140dc23,St Kilda,St K,images/afl_logos/stk-40.png,6,0.1,6,3.1,15.2,9.87,-0.3,11.8,4.7,6.9,3,115,96,0.1,0,78,13,12,25,72,313,252,5,3,2,13,0,6,5,3,3,13,1,4,0,0,26,2,2,0,0,0,3,2,1,10.6,2.4,1,7,1
2026,Round 17,20261701,Max Hall,140c0b7,St Kilda,St K,images/afl_logos/stk-40.png,6,8.1,2.6,-2.4,14.2,12.3,6.2,1.7,4.1,4.1,5,143,152,1.19,2,80,16,17,33,75.8,500,306,6,2,9,20,0,7,4,0,0,15,0,9,0,0,78,5,7,0,0,0,4,1,2,9.6,-1.6,0,11,3
2026,Round 17,20261701,Marcus Windhager,140ca26,St Kilda,St K,images/afl_logos/stk-40.png,4.7,2.7,3.1,3.6,14.2,7.76,1.1,10.7,2.4,8.7,0,96,88,0,0,80,13,9,22,95.5,394,378,6,2,3,12,0,2,2,1,1,12,2,6,0,0,4,1,1,0,0,0,0,0,0,0,0,1,7,1
2026,Round 17,20261701,Mason Wood,23062c,St Kilda,St K,images/afl_logos/stk-40.png,2.3,1.7,8.2,2.1,14.2,8.77,0.6,13.2,7.4,4.2,0,111,110,0.01,0,83,18,9,27,74.1,422,386,1,3,2,12,0,7,6,6,5,10,5,10,1,1,0,1,1,0,0,0,0,0,0,0,0,1,3,2
2026,Round 17,20261701,Bradley Hill,230720,St Kilda,St K,images/afl_logos/stk-40.png,6,3,4.6,-0.8,12.8,9.32,0,10.4,4.7,6.7,8,159,159,1.24,2,87,27,15,42,83.3,655,339,5,6,0,5,2,4,4,4,4,17,5,14,0,0,0,0,0,0,0,0,1,1,0,3.7,2.3,2,10,3
