Year,RoundName,MatchId,Player,WebsiteId,Team,Abbreviation,Image,Rating_Q1,Rating_Q2,Rating_Q3,Rating_Q4,RatingPoints,EstimatedRating,Equity_PreClearance,Equity_PostClearance,Equity_Possession,Equity_BallUse,Supercoach,DreamTeamPoints,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,AssistedMetresGained,Inside50s,Turnovers,Tackles,PressureActs,KickIns,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,HandballReceives,Intercepts,Marks,ContestedMarks,InterceptMarks,CentreBounceAttendancePercentage,TotalClearances,FirstPossessions,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,xScore,xScoreRating,GoalAssists,ScoreInvolvements,ScoreLaunches
2026,Round 18,20261801,Izak Rankine,14073eb,Adelaide,Adel,images/afl_logos/Adel-40.png,0.2,9.2,6.5,1.6,17.5,11.11,4.9,8.8,9.1,6.5,149,138,87,18,13,31,71,597,228,8,7,8,20,0,14,6,5,3,11,1,5,0,0,76,7,9,0,0,0,3,1,2,7,1,0,9,1
2026,Round 18,20261801,James Peatling,14086bd,Adelaide,Adel,images/afl_logos/Adel-40.png,1.6,6,1.1,7.6,16.3,9.12,7.9,6.9,11,2.8,116,98,67,17,7,24,66.7,512,210,6,4,6,23,0,16,6,6,4,5,4,2,0,0,69,10,9,0,0,0,1,0,1,3.2,-2.2,1,7,4
2026,Round 18,20261801,Taylor Walker,22cc3a,Adelaide,Adel,images/afl_logos/Adel-40.png,0.4,-0.6,0.8,15,15.5,7.55,0,13.1,6.2,6.9,82,98,82,11,2,13,69.2,332,137,4,0,2,5,0,3,1,3,1,3,0,6,1,0,0,0,0,0,0,0,9,5,4,32,2,1,11,0
2026,Round 18,20261801,Brayden Cook,140b6df,Adelaide,Adel,images/afl_logos/Adel-40.png,7.4,5.2,1.5,1.2,15.3,8.53,3.4,9.5,7,5.4,111,81,80,13,6,19,94.7,366,394,4,1,3,12,0,7,6,4,3,6,6,6,1,2,0,3,3,0,0,0,0,0,0,0,0,0,5,3
2026,Round 18,20261801,Lachlan McAndrew,140c210,Adelaide,Adel,images/afl_logos/Adel-40.png,3.5,2.9,8.9,0,15.3,11.29,10.8,2.4,6.3,7,95,83,55,5,5,10,80,159,102,2,0,7,13,0,8,7,2,2,1,2,1,0,1,59,6,6,80,26,5,2,1,0,6.1,-0.1,0,4,3
2026,Round 18,20261801,Ben Keays,2daf1a,Adelaide,Adel,images/afl_logos/Adel-40.png,1.3,5,2.9,5.8,15,9.35,1.1,11.3,7.7,3.8,101,89,87,9,9,18,77.8,183,197,0,2,6,19,0,9,4,8,3,7,3,1,0,0,0,1,1,0,0,0,4,2,1,12.1,0.9,1,9,2
2026,Round 18,20261801,Josh Rachele,140b1db,Adelaide,Adel,images/afl_logos/Adel-40.png,6.2,4.7,2.3,1.5,14.7,8.87,0.2,13.7,7.2,6.7,103,78,86,12,5,17,70.6,224,117,2,2,1,13,0,8,4,7,3,4,2,3,0,0,0,1,0,0,0,0,5,3,1,18.2,0.8,2,7,0
2026,Round 18,20261801,Wayne Milera,2da322,Adelaide,Adel,images/afl_logos/Adel-40.png,4.4,7.5,1.9,0.5,14.3,10.22,1.2,11,3.8,7.3,117,89,82,15,7,22,90.9,452,411,3,2,4,13,3,6,4,5,3,6,5,5,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4,1
2026,Round 18,20261801,Leonardo Lombard,140e1b5,Gold Coast,GC,images/afl_logos/GC-40.png,3.7,2.4,0.9,6.6,13.7,9.02,1.7,8.9,5.4,5.3,83,75,76,9,12,21,76.2,311,261,2,3,2,13,0,8,7,6,6,8,2,3,0,0,14,2,0,0,0,0,2,1,0,6.9,-0.9,0,3,0
2026,Round 18,20261801,Luke Nankervis,140c167,Adelaide,Adel,images/afl_logos/Adel-40.png,2.8,-0.4,5.1,5.9,13.5,8.05,0,12,6.4,6,76,69,81,12,5,17,88.2,321,186,3,1,1,11,1,5,4,5,4,7,8,5,0,3,0,0,0,0,0,0,2,1,1,5.3,1.7,1,5,2
