Year,RoundName,MatchId,Player,WebsiteId,Team,Abbreviation,Image,Rating_Q1,Rating_Q2,Rating_Q3,Rating_Q4,RatingPoints,EstimatedRating,Equity_PreClearance,Equity_PostClearance,Equity_Possession,Equity_BallUse,Supercoach,DreamTeamPoints,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,AssistedMetresGained,Inside50s,Turnovers,Tackles,PressureActs,KickIns,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,HandballReceives,Intercepts,Marks,ContestedMarks,InterceptMarks,CentreBounceAttendancePercentage,TotalClearances,FirstPossessions,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,xScore,xScoreRating,GoalAssists,ScoreInvolvements,ScoreLaunches
2026,Round 22,20262201,Sam Berry,140a147,Adelaide,Adel,images/afl_logos/Adel-40.png,0.7,3,2.4,1.9,8,10.29,6.1,0.4,7.3,-0.4,105,98,73,14,10,24,58.3,498,73,2,5,6,19,0,14,8,3,2,6,1,4,1,0,58,7,8,0,0,0,0,0,0,0,0,0,2,0
2026,Round 22,20262201,Billy Dowling,140ab21,Adelaide,Adel,images/afl_logos/Adel-40.png,-0.7,3.7,3.5,1,7.5,7.35,5.6,-0.4,3.9,1.3,61,61,70,5,8,13,61.5,155,166,1,1,6,13,0,8,6,1,1,3,0,2,0,0,0,5,7,0,0,0,0,0,0,0,0,0,3,2
2026,Round 22,20262201,Daniel Curtin,140cd17,Adelaide,Adel,images/afl_logos/Adel-40.png,4.7,3.2,-0.3,-0.1,7.5,10.2,-0.5,5.8,5.9,1.3,43,48,78,8,6,14,64.3,255,150,2,4,3,15,0,8,6,6,5,5,6,0,0,0,53,1,2,1,1,0,1,0,1,3.5,-2.5,0,3,2
2026,Round 22,20262201,Taj Hotton,140ecaa,Richmond,Rich,images/afl_logos/Rich-40.png,2.3,2.7,0.5,1.7,7.4,7.45,1.5,2.7,5.4,-0.8,67,49,79,5,8,13,61.5,132,129,3,5,5,12,0,6,5,4,3,5,1,1,1,0,16,2,2,0,0,0,1,0,1,4.2,-3.2,1,3,1
2026,Round 22,20262201,Taylor Walker,22cc3a,Adelaide,Adel,images/afl_logos/Adel-40.png,1.8,1,0.8,3.2,6.8,8.31,0,5.6,5.1,0.9,71,48,78,6,3,9,77.8,206,5,3,1,1,6,0,6,4,6,4,2,0,3,1,0,0,0,0,0,0,0,3,2,1,12.2,0.8,0,4,0
2026,Round 22,20262201,Josh Worrell,1409e0d,Adelaide,Adel,images/afl_logos/Adel-40.png,2,1.3,2.7,0.3,6.4,9.91,0,5.6,5.4,-2.1,96,70,97,12,6,18,72.2,361,58,1,5,2,6,3,8,6,8,6,3,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2026,Round 22,20262201,Josh Rachele,140b1db,Adelaide,Adel,images/afl_logos/Adel-40.png,2.5,2.2,1.9,-0.3,6.4,8.95,-0.5,8.6,3.1,5.6,45,30,72,8,2,10,100,179,196,3,1,0,4,0,4,3,4,3,2,1,2,0,0,5,0,0,0,0,0,0,0,0,0,0,1,5,0
2026,Round 22,20262201,Dion Prestia,22f3c3,Richmond,Rich,images/afl_logos/Rich-40.png,2.4,4.2,1.5,-1.7,6.4,8.9,3.1,2.2,2.9,2.4,56,52,71,9,6,15,73.3,305,170,3,4,1,18,0,5,4,2,2,5,2,3,0,0,42,3,2,0,0,0,0,0,0,0,0,1,2,2
2026,Round 22,20262201,Zac Taylor,140b1e9,Adelaide,Adel,images/afl_logos/Adel-40.png,0.1,0.2,0.6,5.4,6.3,8,0.4,3.9,3.1,1.2,54,46,75,4,4,8,37.5,184,42,2,2,4,15,0,3,2,2,1,3,2,1,0,1,0,0,0,0,0,0,1,1,0,3.2,2.8,0,1,1
2026,Round 22,20262201,Steely Green,140c950,Richmond,Rich,images/afl_logos/Rich-40.png,-1,6.5,-0.9,1.1,5.7,5.34,0.4,3.9,2.5,4.2,40,36,78,6,3,9,77.8,187,98,1,5,2,13,0,4,4,4,4,3,1,3,0,0,0,0,0,0,0,0,2,1,1,7.2,-0.2,1,3,0
2026,Round 22,20262201,Riley Thilthorpe,1409000,Adelaide,Adel,images/afl_logos/Adel-40.png,1.5,2.7,1,0.2,5.4,11.13,1.1,2,5.7,-1.7,51,35,84,2,9,11,63.6,45,115,1,1,2,11,0,7,6,4,3,3,0,1,1,0,16,1,2,13,6,2,1,0,0,2.5,-2.5,0,4,1
2026,Round 22,20262201,Ben Keays,2daf1a,Adelaide,Adel,images/afl_logos/Adel-40.png,3.5,-0.6,2,0.4,5.4,9.4,0.9,3.9,2.2,2.7,42,39,78,6,2,8,50,204,153,2,3,4,18,0,3,2,2,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0
2026,Round 22,20262201,Ben Miller,14078a3,Richmond,Rich,images/afl_logos/Rich-40.png,-0.9,3.6,0.8,1.7,5.2,8.37,0,5.2,5.3,-1.5,105,82,87,11,9,20,80,212,435,0,1,3,4,2,7,5,7,5,4,8,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,Round 22,20262201,Oscar Ryan,140dc35,Adelaide,Adel,images/afl_logos/Adel-40.png,2.9,0.6,0.9,0.6,5,6.6,0,6.9,7,-1.5,80,67,70,10,3,13,76.9,248,132,4,6,3,8,0,7,2,7,2,2,7,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2026,Round 22,20262201,Patrick Retschko,140ec91,Richmond,Rich,images/afl_logos/Rich-40.png,-2.2,-0.1,3.5,3.9,5,7.62,0.5,2.3,6.5,-3.3,79,82,91,13,11,24,50,322,258,5,5,2,15,0,7,5,5,4,8,6,4,0,1,0,2,2,0,0,0,0,0,0,0,0,0,4,2
2026,Round 22,20262201,Kye Annand,140f210,Richmond,Rich,images/afl_logos/Rich-40.png,1.1,1.4,4.4,-2.4,4.5,5.83,0,6.7,5.2,-0.9,68,52,82,9,2,11,90.9,258,28,1,2,0,3,0,4,2,4,2,0,7,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2026,Round 22,20262201,Tom Brown,140b1fe,Richmond,Rich,images/afl_logos/Rich-40.png,1.8,1.6,-0.6,1.3,4,7.97,0,2.7,5.2,-1.5,71,61,78,15,3,18,38.9,574,76,3,6,2,7,2,7,6,5,4,9,5,1,0,0,0,2,2,0,0,0,2,0,2,5.4,-3.4,0,4,2
