Year,RoundName,MatchId,Player,WebsiteId,Team,Abbreviation,Image,Rating_Q1,Rating_Q2,Rating_Q3,Rating_Q4,RatingPoints,EstimatedRating,Equity_PreClearance,Equity_PostClearance,Equity_Possession,Equity_BallUse,Supercoach,DreamTeamPoints,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,AssistedMetresGained,Inside50s,Turnovers,Tackles,PressureActs,KickIns,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,HandballReceives,Intercepts,Marks,ContestedMarks,InterceptMarks,CentreBounceAttendancePercentage,TotalClearances,FirstPossessions,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,xScore,xScoreRating,GoalAssists,ScoreInvolvements,ScoreLaunches
2026,Round 20,20262001,Nick Daicos,140ca1d,Collingwood,Coll,images/afl_logos/Coll-40.png,7.9,3.1,8.5,7.2,26.7,16.25,7.7,14.8,11.6,11.5,144,116,90,17,22,39,74.4,610,604,4,6,2,19,0,18,16,8,8,15,3,4,0,0,80,7,8,0,0,0,3,1,1,7.8,-0.8,0,10,2
2026,Round 20,20262001,Daniel McStay,230ea0,Collingwood,Coll,images/afl_logos/Coll-40.png,4.9,13,4.7,3.9,26.6,8.21,2.9,17.6,12,6.8,128,90,81,8,8,16,62.5,258,131,4,2,4,8,0,12,5,9,4,4,2,3,2,1,23,1,3,20,10,4,3,2,1,9.2,3.8,3,10,3
2026,Round 20,20262001,Darcy Cameron,2da0d3,Collingwood,Coll,images/afl_logos/Coll-40.png,6,2.5,3.5,5.2,17.3,11.23,6,6.6,14.1,-3.6,154,137,77,10,13,23,56.5,191,227,1,4,9,19,0,18,8,8,4,3,6,3,2,1,73,6,8,88,37,12,0,0,0,0,0,0,9,7
2026,Round 20,20262001,Taylor Walker,22cc3a,Adelaide,Adel,images/afl_logos/Adel-40.png,10.5,5.1,0.5,0.9,17.2,7.92,0,16.1,8.3,9.5,92,81,84,11,5,16,75,395,61,5,5,1,4,0,7,2,7,2,4,1,6,1,0,0,0,0,0,0,0,5,3,1,12.6,6.4,1,8,1
2026,Round 20,20262001,Scott Pendlebury,227d21,Collingwood,Coll,images/afl_logos/Coll-40.png,4.1,7.7,5.4,-0.2,17.1,10.32,4.8,7.8,3.2,8.5,94,114,68,17,12,29,75.9,385,311,3,3,2,13,1,5,1,1,0,12,2,8,0,1,47,5,6,0,0,0,1,1,0,4,2,0,3,1
2026,Round 20,20262001,Josh Worrell,1409e0d,Adelaide,Adel,images/afl_logos/Adel-40.png,4.3,4,3.2,4.9,16.4,9.68,1,14.2,10.3,1.1,104,84,91,15,6,21,81,236,196,0,3,1,9,2,8,5,7,4,3,12,7,1,6,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2026,Round 20,20262001,Izak Rankine,14073eb,Adelaide,Adel,images/afl_logos/Adel-40.png,4.8,2.8,4.4,4.1,16.1,12.08,7.2,6.1,10.2,2.8,101,103,84,13,12,25,72,253,309,3,4,5,23,0,14,10,7,5,4,7,6,1,2,80,6,5,0,0,0,1,0,1,3.1,-2.1,0,4,3
2026,Round 20,20262001,Sam Berry,140a147,Adelaide,Adel,images/afl_logos/Adel-40.png,5.3,0.4,6.9,3.2,15.9,10.72,7.7,2.9,8,3.1,116,112,64,15,15,30,86.7,160,359,3,1,6,20,0,17,12,6,6,6,2,5,0,0,67,10,11,0,0,0,0,0,0,0,0,0,5,0
2026,Round 20,20262001,Lachlan McAndrew,140c210,Adelaide,Adel,images/afl_logos/Adel-40.png,0.4,4.5,4.8,5.7,15.4,11.55,6.4,2.3,5.9,0,92,78,77,3,6,9,55.6,122,72,2,3,8,20,0,9,6,2,2,2,0,0,0,0,80,4,6,86,39,13,0,0,0,0,0,1,4,4
2026,Round 20,20262001,Patrick Lipinski,1407b7a,Collingwood,Coll,images/afl_logos/Coll-40.png,3.2,-0.5,4.6,8.2,15.4,9.33,2.4,9.7,3.9,8.3,75,63,79,8,11,19,78.9,257,282,4,0,1,14,0,7,5,3,3,10,2,2,0,0,0,3,4,0,0,0,2,1,1,7.7,-0.7,3,8,2
